0.9995	0.0005
0.9983	0.0017
0.9971	0.0029
0.9952	0.0048
0.9932	0.0068
0.9908	0.0092
0.9882	0.0118
0.9855	0.0145
0.9827	0.0173
0.9799	0.0201
0.9769	0.0231
0.9743	0.0257
0.9717	0.0283
0.9692	0.0308
0.9665	0.0335
0.9636	0.0364
0.9601	0.0399
0.9568	0.0432
0.9532	0.0468
0.9500	0.0500
0.9458	0.0542
0.9419	0.0581
0.9383	0.0617
0.9346	0.0654
0.9312	0.0688
0.9272	0.0728
0.9232	0.0768
0.9201	0.0799
0.9170	0.0830
0.9140	0.0860
0.9116	0.0884
0.9094	0.0906
0.9073	0.0927
0.9052	0.0948
0.9033	0.0967
0.9018	0.0982
0.9003	0.0997
0.8991	0.1009
0.8977	0.1023
0.8970	0.1030
0.8964	0.1036
0.8960	0.1040
0.8958	0.1042
0.8952	0.1048
0.8952	0.1048
0.8953	0.1047
0.8954	0.1046
0.8957	0.1043
0.8959	0.1041
0.8970	0.1030
0.8978	0.1022
0.8987	0.1013
0.8995	0.1005
0.9005	0.0995
0.9016	0.0984
0.9027	0.0973
0.9037	0.0963
0.9050	0.0950
0.9062	0.0938
0.9072	0.0928
0.9086	0.0914
0.9097	0.0903
0.9108	0.0892
0.9119	0.0881
0.9134	0.0866
0.9145	0.0855
0.9159	0.0841
0.9174	0.0826
0.9187	0.0813
0.9204	0.0796
0.9222	0.0778
0.9233	0.0767
0.9248	0.0752
0.9261	0.0739
0.9275	0.0725
0.9288	0.0712
0.9303	0.0697
0.9319	0.0681
0.9332	0.0668
0.9344	0.0656
0.9362	0.0638
0.9378	0.0622
0.9392	0.0608
0.9408	0.0592
0.9427	0.0573
0.9444	0.0556
0.9459	0.0541
0.9478	0.0522
0.9494	0.0506
0.9507	0.0493
0.9522	0.0478
0.9533	0.0467
0.9545	0.0455
0.9561	0.0439
0.9576	0.0424
0.9589	0.0411
0.9603	0.0397
0.9615	0.0385
0.9629	0.0371
0.9642	0.0358
0.9656	0.0344
0.9666	0.0334
0.9674	0.0326
0.9687	0.0313
0.9700	0.0300
0.9712	0.0288
0.9724	0.0276
0.9734	0.0266
0.9746	0.0254
0.9756	0.0244
0.9765	0.0235
0.9777	0.0223
0.9786	0.0214
0.9795	0.0205
0.9805	0.0195
0.9814	0.0186
0.9824	0.0176
0.9834	0.0166
0.9843	0.0157
0.9851	0.0149
0.9859	0.0141
0.9866	0.0134
0.9874	0.0126
0.9882	0.0118
0.9893	0.0107
0.9946	0.0054
0.9961	0.0039
0.9991	0.0009
